,Player,KM Cluster,Postion,Age,TeamAbbrv,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,PC 11,PC 12,PC 13,PC 14,PC 15
31,Duncan Robinson,7,Forward,26.0,MIA,-1.195754177656133,-1.99690568573099,8.842170606831827,1.2188595776800832,5.804398044483927,1.0052926430561384,-0.5945400331845118,0.0008520839645692973,-0.9368862167829738,-0.10435049255066128,2.719981653681904,1.2158295013825655,-0.45802704381397075,1.3458726542384583,-1.3104286892720742
32,Evan Fournier,5,Guard-Forward,27.0,ORL,-5.875118680113582,1.6397554451677736,1.9922535668206711,0.8508744906166783,2.175058233600536,-1.0743628377394003,0.09118718089595731,-1.3035955825446082,-0.30112031557884594,0.931867523930405,0.07592201234488093,-1.2083843587030318,0.555714768903478,0.5679492835386705,1.1742076823551693
33,Furkan Korkmaz,7,Guard-Forward,22.0,PHI,-0.636440830091914,-3.628200546365073,3.843945198139988,0.786367267020281,1.5461717092244276,0.7344169472174008,0.965432926291398,0.34748888720004967,-0.7248895824547578,-0.11056904326838574,-0.8680692901970248,-0.2523182467351491,0.49863998037485274,0.36917583762959394,0.30057345924558637
34,Harrison Barnes,0,Forward,28.0,SAC,-0.4119358912797387,2.681923844059946,2.845235850971021,0.5592522822125691,-0.8154232898759577,-1.9429051794308094,0.23857096013256987,1.008468762103719,0.7108065317692414,-2.4067172492921767,0.5883353996461171,0.464207168721224,-0.458154372510442,0.8071265735732849,-1.550029984845282
35,Jakob Poeltl,4,Center,24.0,SAS,8.884401454405198,0.8577459635867689,-2.7441887800820415,1.134851620449423,2.264782432434245,1.6203311302258518,0.33569638138845337,-1.5186839452672665,0.2025596973682033,1.8806332740413725,-2.156348506651826,-2.302191211367345,-1.7392292101572833,-0.06599943393964837,-1.7627407993248214
36,Jerami Grant,0,Forward,26.0,DEN,2.384564683135448,0.46430088236856,3.476615396935571,0.2740056020536887,0.6632815313370629,-1.330496344203718,0.7268738716155375,-0.1189372615988654,0.02616227835184578,-1.5023317421700326,-0.522632666749851,0.39109108081112615,-0.8171245905206759,-0.38021090051106393,-0.18023394294262898
37,Joe Ingles,5,Forward-Guard,32.0,UTA,-5.116104921482583,-0.5971009667869374,-0.08878348921439963,-1.0378552291577434,0.7793336329511129,3.0364859120770293,-2.8159217497972056,-1.412186527059787,-0.7216381572626527,-0.8005293787927794,1.449865588136361,0.21222334913313495,-0.565351430704314,-0.7305196477096499,0.4170282787157839
38,Kent Bazemore,7,Guard-Forward,30.0,SAC,-1.9770347620629776,-1.997875380793304,2.1686888316827946,-3.1723846966369127,-2.1380112412060375,0.08646902974812438,0.4664985127631035,0.6811687963755757,-1.3126605821654111,0.8791401876972538,-0.7316625712590572,-0.7240766144998506,-1.5610124321614673,-0.2802465679545553,0.4041662852848451
39,Kevin Knox II,2,Forward,20.0,NYK,-0.7871210142892975,-5.440777485081381,-0.03392769198803133,0.7958363698163158,-1.0736309763135612,-1.587937672432946,1.1428914179532919,1.2889592194480701,-1.0686996575805852,0.7837680229024585,0.10208163173093072,-0.43882997633294657,-0.05496063224270231,-1.0677618917908773,0.18224739404643778
40,Markelle Fultz,5,Guard,22.0,ORL,-5.614330274785602,2.536074421192613,-3.168110876255767,-1.2811790339531748,0.0573940380457359,-1.7184911770601645,-0.6790419246919237,-2.304191310341093,-1.1299614046821467,0.17027630773896207,-2.0664733908254846,0.37489570840537134,-0.5737703034783113,0.41694842775515545,0.6733870066322677
41,Maxi Kleber,4,Forward,28.0,DAL,6.5924453304825406,-0.6178058238116091,4.024689754490666,0.837821821683416,1.1843686119994217,1.484640391146656,-2.507634315506379,1.9498157620646466,-0.5352503522950639,-0.9609528293892607,-1.288907701958955,-0.7281611699357312,0.0203006488522412,-1.72911033393362,1.6458305305634073
42,Miles Bridges,0,Forward,22.0,CHA,0.13918821468607948,1.5136177902104913,3.3139490833158383,-0.4278116178893633,-1.3335533390286654,-2.2496448819635586,-0.2098663678732219,1.200992115886038,1.0792339403354327,-2.025913182696779,0.5887322998384299,0.17703902134397245,-1.9072563584436542,0.21619277432523756,-0.07603243395025863
43,Montrezl Harrell,3,Forward-Center,26.0,LAC,7.938970325846685,9.112366306611554,-2.3371290146376906,-0.8180393827424276,-0.5599177445080445,-0.02621018767273226,1.8022420844694145,1.813202392452858,-2.003068051070902,-3.315241163372583,0.7531655421375181,-0.8407791263088218,-1.7521449654347638,-0.13846933509440387,-2.694254999048235
44,Nemanja Bjelica,0,Forward,32.0,SAC,2.3126874161361695,2.010981385048073,2.9467434838242395,0.2724230702558209,-0.6658087780314929,0.8564649118750509,-1.9650030872850093,-0.8378580824737517,1.9575844030462264,-1.6967061253756581,-1.4050417489566902,0.5842941810557892,-0.7943268556645987,0.6411678223585987,-0.4544536821606522
45,P.J. Tucker,7,Forward,35.0,HOU,2.0883688943409897,-0.6904392905635585,7.210392403742138,-2.404767851007158,-1.2715131033931997,1.7520548199875223,-4.755428431462697,2.50323646551932,1.9393273043501296,0.9293238702807339,-0.10280455443082268,-1.379740937135628,-0.21125531880088938,0.3240190901628931,-2.0170428525281596
46,Patty Mills,2,Guard,31.0,SAS,-3.9146370201536667,-3.4637860725600658,1.7490328345142105,1.9185380129397132,1.1915588822401788,1.5188231964181007,0.3671295313317567,-1.3964106609848832,-0.1238743615495948,-0.6691363496256061,0.3406875957568727,-2.5294363566001183,1.3436102249988051,-1.326480601683209,-0.24403156595459335
47,Royce O'Neale,7,Forward,27.0,UTA,1.5348714867948532,-2.904874859363373,3.5739589433764163,-2.4251101367719285,0.02283509522043174,2.1173077054573257,-2.8499820292599827,0.5484142144268684,1.2443617606434247,0.6480671531199201,-0.5230192732431252,0.8912889531580276,0.7228113676995284,0.1679949376381895,0.7739014625271834
48,Thaddeus Young,6,Forward,32.0,CHI,0.751403883791611,-2.6346297301157544,-0.8143297921867807,-2.2530943962902503,-3.3671174374970887,0.542487185458878,-3.589190873784636,1.4034318709149105,2.1407025015621963,1.882902868933683,3.887091865653289,-0.689083072980394,-0.08286840344159561,2.3440679226203245,0.38663757451880293
49,Trey Lyles,6,Forward,24.0,SAS,4.083671123351096,-3.011862147441633,1.2788141440597491,1.2098609327245629,-0.3581082874354718,-0.5941994226179913,-1.017064087997257,0.656159884122601,2.237717720032144,0.5883436578062029,-1.4599225382639727,-0.5660340419824295,0.5029898295671318,0.38056256677332045,0.2634222657400674
50,Tyus Jones,5,Guard,24.0,MEM,-5.432268211596761,-2.386087118585193,-2.408099794030019,0.4760973892854451,0.36524784541485356,1.2638562446804535,-1.2334505419983275,-3.183177507513896,-0.7785990534352052,-0.07227759068939359,0.16761548641379645,-0.05419134074610548,0.2860622010127296,-0.6969415497026534,0.15686608312952546
51,Ben Simmons,1,Guard-Forward,23.0,PHI,-1.4972117900189268,9.257269906759534,-2.268480404660909,-6.654634353222365,-1.0210526188744142,1.308667563525875,-0.21004366756507836,-2.8574733975321798,0.4566582112393448,-2.1899700166479477,0.2634355058308139,1.7516431593064024,2.5448377647141713,1.4590179331365811,0.03377926142781915
52,Bojan Bogdanovic,7,Forward,31.0,UTA,-3.2224493602858,3.110508096805541,5.687909454944939,0.8249104941589489,1.6971132075443118,-0.42274792239078035,1.1777791812439198,2.2909476275563745,0.7613056843017166,-1.3915254508193493,0.6045126771519573,0.08652632709909236,-1.133065913925525,-0.11064497792678799,0.7827277621726297
53,Brad Wanamaker,2,Guard,30.0,BOS,-3.143230489993516,-3.314823519242198,-1.448119647634061,-2.3940108089146497,0.4154072530511994,1.3928732517692406,0.9361170880458608,-1.3674617346663944,-1.1744103458722257,-0.21965443414007138,-1.4071650649264467,1.4830192120672052,1.9954337316459212,0.3488625142719497,0.7348689581713923
54,Christian Wood,4,Forward,24.0,DET,6.889873750203779,2.4122963427675597,0.4438370660756332,0.7064726120258792,1.1431999294633943,1.1014312088060834,0.8400670853424823,-0.1730844038765544,1.3013023479944483,-1.51349220119953,-0.4939662897201403,-0.06233425890969399,0.2329346281746626,-0.3960745057735266,2.097059727641446
55,Darius Bazley,6,Forward-Guard,20.0,OKC,2.3666180773461627,-3.7030819885820643,1.0605539146064167,-0.6283274500778059,-1.0948204880026038,0.5678465176685425,1.4603888889871115,2.1561549078894386,-0.8181952520622628,0.35018558682345957,-1.2873082662901103,0.735179608248274,-1.6659746829664979,-0.8543670742340933,0.14639326556581153
56,Darius Garland,5,Guard,20.0,CLE,-7.235825448115344,0.8900708831476214,-0.003791556287695407,1.5568837218009102,-0.2795219553634224,-1.967721031488131,-3.1209488164647445,0.4705588071232821,-1.8807326593187468,0.5528553893648543,-0.350436425875481,-0.373658182653295,-0.43320139455214973,0.052364051928032285,-1.2763345692157007
57,De'Andre Hunter,7,Forward-Guard,22.0,ATL,-2.180801550897577,1.0292270178114786,4.740766581495303,0.6104365913305061,-0.5580597778484143,-3.087374746292379,-1.2829473032967473,0.6582794206731563,0.11434164513068903,-0.6792933287975832,-0.6518019090631693,0.7915919255007908,-1.3810457976671024,0.3570874986117039,-0.8723705523783677
58,Delon Wright,5,Guard,28.0,DAL,-2.784978732628212,-1.0575178446956284,-2.3611022930505965,-3.2352239951518857,-0.13253137281089128,0.6695217170153875,-0.1394193332269399,-1.8525764226747854,0.651311727206348,-1.303631018125845,-2.108801822945214,0.9326227481798649,0.14507610900259507,0.24974289732800506,0.169685404723541
59,Donovan Mitchell,1,Guard,23.0,UTA,-8.338731308445134,7.015380398766854,-0.5298031710935384,2.2481211394126013,2.6116099830899246,-0.3748849558897944,-0.7485896331710064,0.5814232619017486,-0.6967883594864747,1.5876397139494347,-1.451638734717961,-0.33228524026505396,-1.4467069963662396,0.9189420941541034,2.1229405909001913
60,Dwight Howard,4,Center-Forward,34.0,LAL,9.580506209777283,0.5345953199839204,-2.1647792626166455,-0.9456804403205326,4.117608023616925,0.8359322137010509,0.9104134672997716,-1.05579547492154,1.5957339192343767,0.23032150314066388,0.6749783462173329,0.2947912292434933,1.2152771847280373,1.543324191695896,0.21968765026319095
61,Ish Smith,5,Guard,31.0,WAS,-6.5992533162232565,0.6239138205713467,-2.6075733818725277,0.9882131504420418,-0.9007046857320613,0.30667162331376113,-1.5997119487594273,-2.0307771578842586,0.46732192004928313,0.2681230256302893,-0.34806266965643146,-0.3128657423383625,-0.7258843778265707,-1.2997610542269045,0.3650663585089363
62,Jarrett Allen,3,Center,22.0,BKN,12.409065654787604,4.926543554724383,-3.1252579791937753,-2.245851651366036,2.4091078598006543,-0.043204142904625466,-1.7683617655877861,1.2339672172422878,-1.9079206327968736,0.6288661569338839,1.3997432276609942,-1.9821844449114598,-0.79977411374318,-1.4142249062766041,0.5530403215614753
63,Jordan Clarkson,5,Guard,28.0,UTA,-3.9129958445261215,0.7723105007191504,0.7093856787530459,0.9948248553510084,2.2666282117554872,-1.1735410522725993,1.8254418537719486,-0.19342899379959586,0.9103834319079839,-1.9845566770075684,0.07925128959466197,-0.650490383120134,-1.3610517636262436,1.356441821709215,1.4695384548534818
64,Julius Randle,0,Forward-Center,25.0,NYK,0.48325707722123923,8.69401341424184,0.6596093513882327,1.132239122255417,-2.551174049655884,-2.3978291128211344,2.133882354560651,1.1188346721847096,0.6531049449508898,-1.0299718099328319,0.781429729533082,2.2041946908911654,-0.10188032412212406,0.7358241992780304,-1.5841793217701048
65,Kelly Oubre Jr.,7,Forward-Guard,24.0,PHX,-2.5159618627763036,3.5730280068598956,3.6366549572143048,-2.6232086232687597,-0.263117777267818,-2.618786003842796,1.1145050750195638,-0.6677297380899107,0.18101058252184352,0.6390121409445233,0.9506764049725726,-2.3635883144857748,-0.4363620774003225,0.989104717636469,-0.5857121654770334
66,Kentavious Caldwell-Pope,7,Guard,27.0,LAL,-1.298547232419995,-2.7495335727048293,3.985197351016634,-1.3518894612377246,1.7256167643402363,-0.19113321930369426,0.939407216590644,-0.877724825239062,-0.4800561828592231,0.6955572036137341,-1.1008521914121785,-0.3065033980501481,1.4753625638871675,0.28996596360934074,-0.16220709227061142
67,Spencer Dinwiddie,1,Guard,27.0,BKN,-7.710783294306231,5.296041407928861,-3.3926004103998992,-0.6853281283025983,2.020327001367902,0.5547119862078521,-0.9630585913848131,3.2287968856165055,-0.9307767807898415,-1.4521219707021495,-1.056794365029532,0.699110369755482,-0.5972689227272854,-1.1406456271224037,0.504040341604944
68,T.J. McConnell,5,Guard,28.0,IND,-5.382053212152262,-0.5462738409413425,-5.024458648438276,0.5600532515714971,-0.34406379685441985,1.6253397576553916,0.7524055279614618,-3.692639175285876,-0.7443578884258653,-0.4467927796202538,-1.151479486094189,0.7685554555086811,-0.5159422899433312,1.8929605552973359,-0.7815465588989011
69,Taurean Prince,7,Forward,26.0,BKN,-1.5027740857350178,-0.3273635748198483,4.36523596708419,-1.1674606659610272,-1.7505174442966176,0.26855080712084195,-1.1686492863334763,1.611565890975216,0.1558972146586831,-0.7303026584942317,-0.7811217920833515,-0.445970278892745,-1.6085137521512747,-0.44962058660249143,0.46369109870065783
70,Terrence Ross,7,Guard-Forward,29.0,ORL,-3.425036098866892,-1.5036366506681942,2.333266642891034,0.9270771332393056,0.24447770945010144,-0.5532421642954058,1.0576750042716803,-1.4628167786442943,-0.5355011256774438,2.2954927381680217,0.37313682632607814,-0.984203185650629,-0.15944280956071588,-0.41087259361020595,1.8068680328733007
71,Terry Rozier,5,Guard,26.0,CHA,-6.171717740702697,3.538028633259725,2.051359915052186,-0.5572875042863736,0.3020343234442633,-1.3456951807798372,-1.6340755119333064,0.6684684106746291,0.2186587023617158,-0.02574143021587789,-0.5204700536059342,-0.8156884825666223,0.8419515364936866,-0.010959343331220086,0.41508007414818215
72,Brook Lopez,0,Center,32.0,MIL,6.080306023475845,3.0146300388162937,3.4365674838189304,1.1089835952178775,-1.9235698289386407,2.882121811419634,0.038574771871448546,1.2622422944916174,-2.3846176731061197,0.1002785651100241,-1.1255669656207083,-0.4217610886883323,-5.071290366786545,-0.4291908642238551,0.8428229589123215
73,CJ McCollum,1,Guard,28.0,POR,-9.018357538316335,6.155080155478435,1.1494780445531354,2.2403032900759183,0.6157054739776936,-0.04361702597109709,-0.5656996245270847,0.4191487180116787,0.22271622690034878,2.5216836521326242,-0.054896994143306954,-1.06980026710754,-0.8905704652511657,-1.5285302040282838,-0.06298377209185552
74,Danny Green,7,Guard,33.0,LAL,-0.8171302535982647,-2.5217342519766497,5.119262875301598,-2.975415978241879,-0.4991558396983727,0.8580425110174558,-1.0919339180229293,-0.9210860218792675,0.9939466646318795,0.5332925401331057,-0.4670653078266817,-1.01422353650163,-0.19174519062941794,0.7636909104106886,-0.6154677002162873
75,DeMar DeRozan,1,Guard-Forward,30.0,SAS,-7.574161638971191,8.576456733120414,-2.519725341464407,3.073030763745101,0.542790168266746,-1.485381752005129,1.8695135294534588,-1.142884155672711,2.2323771571642035,1.433887154277567,-1.8218352928177284,-0.37575423572263766,0.612135968685488,0.8058268817618213,0.2718296231568813
76,Derrick White,5,Guard,25.0,SAS,-2.79434218660851,1.158086892725883,-0.4102201735639997,0.397889067048979,1.587086859579065,0.8292586177447175,-0.49413053107470883,0.41105739549642833,-1.4473028493652258,-1.7283372636657142,-2.119172269507132,-0.967366089983922,-1.9589334933244587,1.3799500807001432,-1.0954699765455125
77,Devin Booker,1,Guard,23.0,PHX,-6.71462775641409,8.365681275403842,-0.20997578155353197,2.463606415033631,2.5814579331740477,-1.3373973716356922,1.9567572632035755,0.38693609413682284,-0.3654212824190605,1.2939403824275815,-0.08194467561050449,-0.24980777339980556,1.575887828230424,0.47266221959203897,0.7278440514710521
78,Domantas Sabonis,3,Forward-Center,24.0,IND,10.138985928891909,11.502649677172196,-0.8501680985738204,1.9365836463488957,-3.2603173967776664,0.8042009485280028,-1.9762833112797014,-0.9479159548635485,-3.8132146485708494,-0.8445006328577637,1.280203869141126,2.3508224073379322,2.7573082465107013,0.7123066907153255,-0.5771508639673678
79,Grant Williams,6,Forward,21.0,BOS,4.518169681808449,-4.455383269709931,-0.7961205803237145,0.15733145032749363,-0.5079410439657323,0.08981058146498402,0.46715609378434997,2.204382963666862,0.15436429682929584,0.414769390513938,-2.2528908573732025,0.594522121957653,-0.11084364413238466,1.740575661984443,-0.8066932439409293
80,Jaren Jackson Jr.,0,Forward-Center,20.0,MEM,2.5798603658777837,4.699630648773118,5.139872314130801,0.5833189306928944,-0.1979457302914223,-0.34354758391748713,0.5437562936185572,-0.12485694373873112,-0.5130660752586798,-2.496615714450725,0.42472399147529705,-0.6031972422774909,-2.780874075918397,-0.5617735810857775,0.37986052992646957
81,Jarrett Culver,5,Guard-Forward,21.0,MIN,-2.10018334103241,-1.2681163931659447,-0.767808690332691,-2.0123364519394373,-0.27229802373490386,-3.2035293692571143,0.08535009832214703,0.18391411997875676,-0.7911666919660083,-0.6093592888437032,0.2429115334501337,-0.2781796664336232,-2.135781499038009,-0.23018501442171657,0.4906783164961318
82,Jaxson Hayes,4,Center-Forward,20.0,NOP,8.85388578330221,-0.6004967230670152,-1.3119106014359565,-1.5448373513765465,3.8838266183225003,0.8762357078836531,0.020194603255016135,0.423067670945105,-0.6154719951776199,-1.5018571430019847,-1.3328745281899421,0.41257204548049226,3.1568156214438297,-1.2693469203812895,0.8477868461362675
